generalArea	specificArea	platform	taskName	taskDescription
Logic	Uncommon parts - nixie and radiation sensor	Arduino Uno	radioactive-dice3c	Radioactive dice: a device that uses the radiation rate from a radiation watch type 5 sensor (which outputs a digital signal, active low, depending on whether a high-energy particle has struck it at that moment or not) to determine the random seed for an electronic dice.  The device should continually read the radiation sensor, accumulate the count, and use it to help change the random seed periodically. Every 3 seconds, the device should display the roll of a 6 sided dice on a Nixie tube. It should use an IN-12 nixie tube, and K155ID1 driver.
Logic	Combinations	Arduino Uno	coffee-cup-mass3	a device that measures the mass of a coffee cup, then (knowing how much the average coffee cup holds, and how much coffee tends to weigh), it displays how full the coffee cup is using a strip of 8 neopixels.  There should be a button that allows the user to set the mass of an empty coffee cup, by placing an empty cup on it, and pressing the button. The device also measures the temperature of the coffee using a non-contact temperature sensor, and changes the color of the neopixels according to the temperature of the coffee.
Accessibility	Generic	Adafruit Huzzah32 ESP32 Feather	distance-glasses2	glasses for the blind that provide a helpful sound that corresponds to how close something is in front of them.  Should have a slide switch that can disable the sound.
Accessibility	Specific Component	Adafruit Huzzah32 ESP32 Feather	distance-glasses3	glasses for the blind that provide a helpful sound that corresponds to how close something is in front of them.  Should have a slide switch that can disable the sound.  Please use the MaxSonar ultrasonic distance sensor.
Logic	Uncommon device, some world knowledge (emojis)	Teensy 4.0	keyboard-emoji4	create a keyboard that plugs in as a USB device, but instead of a full keyboard it has only a small number of buttons. The keyboard should only have buttons for 9 popular emojis, expressed as ASCII characters.  One emoji should be a heart.  One other emoji should be a long string containing at least 5 characters.  There should be an LED that's on all the time, but blinks off for 500 milliseconds when a button is pressed.
Logic	Uncommon device, some world knowledge (emojis)	Teensy 4.0	keyboard-emoji5	create a keyboard that plugs in as a USB device, but instead of a full keyboard it has only a small number of buttons. The keyboard should only have buttons for 9 popular emojis, expressed as ASCII characters.  One emoji should be a heart.  One other emoji should be a long string containing at least 5 characters.  There should be an LED that's on all the time, but blinks off for 500 milliseconds when a button is pressed.  There should also be a buzzer, that plays very brief music (i.e. no more than a few seconds) that is of the same affect as the emoji being pressed -- for example, loving for the heart emoji, happy for a happy emoji, sad music for a sad emoji, and so forth.
Logic	Uncommon device, some world knowledge (emojis)	Teensy 4.0	keyboard-emoji6	create a keyboard that plugs in as a USB device, but instead of a full keyboard it has only a small number of buttons. The keyboard should only have buttons for 9 popular emojis, expressed as ASCII characters, not unicode.  One emoji should be a heart.  There should be an LED that's on all the time, but blinks off for 500 milliseconds when a button is pressed.  There should also be a buzzer, that plays a brief tune that is of the same affect as the emoji being pressed -- for example, a love song for the heart emoji, a happy song for a happy emoji, sad music for a sad emoji, and so forth.
Logic	Uncommon device, some world knowledge (emojis)	Teensy 4.0	keyboard-emoji6a	create a keyboard that plugs in as a USB device, but instead of a full keyboard it has only a small number of buttons. The keyboard should only have buttons for 9 popular emojis, expressed as ASCII characters, not unicode.  One emoji should be a heart.  There should be an LED that's on all the time, but blinks off for 500 milliseconds when a button is pressed.  There should also be a piezo buzzer, that plays a brief tune that is of the same affect as the emoji being pressed -- for example, a love song for the heart emoji, a happy song for a happy emoji, sad music for a sad emoji, and so forth.
Logic	Uncommon device, some world knowledge (prime numbers)	Teensy 4.0	keyboard-prime	create a keyboard that plugs in as a USB device, but instead of a full keyboard it has only a small number of buttons. The keyboard should only have buttons for the first prime numbers up to the number 20. Each prime number should have it's own button.
Accessibility	Generic	Arduino Uno	pill-alarm2	Create a pill alarm.  The alarm should have a clock that prints the current time on a 16x2 character LCD display.  If the time is 6:30am, noon, or 6:30pm, the device should raise one of 3 flags (signifying different pills need to be taken) by moving one of three servos from 0 degrees to 90 degrees.  The servos should stay up until a button is pressed, after which they're reset to the down position (0 degrees).  While raised, the servos should slowly oscaillate between 45 and 90 degrees, to help get the users attention. 
Accessibility	Generic	Arduino Uno	pill-alarm3	Create a pill alarm.  The alarm should have a clock that prints the current time on a 16x2 character LCD display.  If the time is 6:30am, noon, or 6:30pm, the device should raise one of 3 flags (signifying different pills need to be taken).  Servo 1 controls flag 1, servo 1 controls flag 2, and servo 3 controls flag 3.  When raised, the servo should move from 0 degrees to 90 degrees.  The servo should stay up until a button is pressed, after which it's reset to the down position (0 degrees).  While raised, the servos should slowly oscaillate between 45 and 90 degrees, to help get the users attention. 
Sensors	Sensors + Visualization	Arduino Uno	compass-neopixel	make a compass, that shows the current direction using a neopixel ring. The neopixel ring should have 16 neopixels. The north neopixel should always be green. The current heading neopixel should be blue.
Sensors	Sensors + Visualization	Arduino Uno	compass-neopixel2	make a compass, that shows the current direction using a neopixel ring. The neopixel ring should have 16 neopixels. The north neopixel should always be green. The current heading neopixel should be blue. It should use the MLX90393 magnetometer.
Sensors	Sensors + Visualization	Arduino Uno	compass-neopixel3	make a compass, that shows the current direction using a neopixel ring. The neopixel ring should have 16 neopixels. The north neopixel should always be green. The current heading neopixel should be blue. It should use the QST QMC5883L magnetometer.
Sensors	Sensors + Visualization	Arduino Uno	temperature-noncontact1	create a non-contact temperature sensor using the MLX90614.  The temperature should be output on a 8-pixel neopixel strip.  0 degrees or below should light  only the first neopixel.  For each 10C after, another neopixel should light.  The color of the neopixel should change according to its temperature (blue=cold, yellow/orange=warm, red=hot). 
Sensors	Sensors + Visualization	Arduino Uno	temperature-noncontact2	create a non-contact temperature sensor using the MLX90614.  The temperature should be output on a 8-pixel neopixel strip.  0 degrees or below should light only the first neopixel.  For each 10C after, another neopixel should light.  The color of the neopixel should change according to its temperature (blue=cold, green=mild, yellow=warm, orange=warmer, red=hot). 
Sensors	Sensors + Visualization	Arduino Uno	spectrometer-vis1	create a visible spectrometer that continuously displays the spectrum on an OLED display.  It should use the Hamamatsu C12666MA mini-spectrometer for the spectrometer.  The display should be a 128x64 pixel OLED with a SSD1306 controller and I2C interface.
Sensors	Sensors + Visualization	Arduino Uno	spectrometer-vis2	create a visible spectrometer that continuously displays the spectrum on an OLED display.  It should use the Hamamatsu C12666MA 5v-compatible mini-spectrometer for the spectrometer.  The display should be a 128x64 pixel OLED with a SSD1306 controller and I2C interface, also 5V compatible.
Sensors	Sensors + Visualization	Arduino Uno	spectrometer-vis3	create a visible spectrometer that continuously displays the spectrum on an OLED display.  It should use the Hamamatsu C12666MA 5v-compatible mini-spectrometer for the spectrometer (pins: 5V, GND, EOS, START, CLK, GAIN, VIDEO).  The display should be a 128x64 pixel OLED with a SSD1306 controller and I2C interface, also 5V compatible.
Sensors	Sensors + Visualization	Arduino Uno	spectrometer-vis4	create a visible spectrometer that continuously displays the spectrum on an LCD display.  It should use the Hamamatsu C12666MA 5v-compatible mini-spectrometer for the spectrometer (pins: 5V, GND, EOS, START, CLK, GAIN, VIDEO).  The display should be a 160x128 pixel TFT with a ST7735 controller and SPI interface, also 5V compatible.
Sensors	Sensors + Visualization	Arduino Uno	spectrometer-vis5	create a visible spectrometer that continuously displays the spectrum on an OLED display.  It should use the Hamamatsu C12666MA 5v-compatible mini-spectrometer for the spectrometer (pins: 5V, GND, EOS, START, CLK, GAIN, VIDEO).  The display should be a 128x128 pixel OLED with a SSD1351 controller and SPI interface, also 5V compatible (pins: GND, VIN, CD, MISO, SDCS, OLEDCS, RESET, DC, SCK, MOSI).
Logic	Input + Display	Arduino Uno	rocket-game1	make a fun arcade game about flying a rocket ship.  The game should display on a 160x128 TFT display (ST7735).  It should use an analog joystick (two analog inputs, and one switch input) for control.  For effect, it should also output to two hobby servos, which represent movable fins on the outside of the rocket ship. 
Robot	Robot	Arduino Uno	robot1	create a robot in the shape of a square that has 4 hobby servos, 2 mounted on the left side and 2 mounted on the right side. the servo horns serve as legs. the robot should walk forwards.
